cell_som_cluster,pixel_meta_cluster_rename_CD14,pixel_meta_cluster_rename_CD163,pixel_meta_cluster_rename_CD20,pixel_meta_cluster_rename_CD3,pixel_meta_cluster_rename_CD31,pixel_meta_cluster_rename_CD3_CD4_CD45,pixel_meta_cluster_rename_CD3_CD8_CD45,pixel_meta_cluster_rename_CD68,pixel_meta_cluster_rename_CK17,pixel_meta_cluster_rename_ECAD,pixel_meta_cluster_rename_HLADR,pixel_meta_cluster_rename_SMA,pixel_meta_cluster_rename_VIM,pixel_meta_cluster_rename_noise,pixel_meta_cluster_rename_stroma,count,cell_meta_cluster,cell_meta_cluster_rename
21,0.0055924743207308,0.0105050728308096,0.1750687350687675,0.0123393040421986,0.0007793216001424,0.765631915470194,0.008517536610415,0.0049729708477284,0.0003622897211169,0.0001962827861733,0.0096278117271883,0.0011800282367751,0.0040299320690027,0.0014478119568656,0.0051723453492131,202,21,CD4T
22,0.0051085035123925,0.0106206829515132,0.1239088134182164,0.1156558950077144,0.0008426151263205,0.7246390368961914,0.0087333301620303,0.003151952612334,0.0026276428560274,0.0011004630820684,0.0052552352203344,0.0089334577158003,0.0128911906121397,0.0070918367667454,0.0031858843544532,65,21,CD4T
23,0.0060060392596046,0.0076272808341258,0.0201168553652114,0.2809760680527593,0.0078013948078087,0.7144038490198971,0.0224772550943435,0.0091557945424247,0.0023393355962948,0.0021880073768287,0.0049753955297891,0.0055791628996805,0.0033918953354025,0.0029881729137088,0.0101641890982913,282,30,immune_other
24,0.0438045276670146,0.0297804206282298,0.0113317704153699,0.0257200633719327,0.01099876682959,0.5514028539954893,0.0091525885366216,0.0119622354247645,0.0046011550097435,0.0077153944055252,0.0098771845632518,0.031179152342959,0.0532825728902041,0.0281361035080217,0.1832197683463368,229,31,other
25,0.0652435764524799,0.0434462781555805,0.0372212953152918,0.0463375912247173,0.0123015112253928,0.3931970458594351,0.147649357066454,0.0143266131269866,0.0063867013233934,0.0039808243654684,0.0842261414533909,0.017509745007073,0.0294621579626551,0.0401716100656696,0.0617754014500124,39,31,other
26,0.0483942274767641,0.0162368691450371,0.0518383534741578,0.0347524126639304,0.0071053878237829,0.295373989408687,0.2052911796900478,0.0023758457747991,0.0,0.0,0.331865564064259,0.0002357378595002,0.003975888206357,0.0205069581388207,0.0017765382978081,21,7,APC
27,0.0434357358208725,0.0292302672933079,0.0198178528714801,0.0224168673229215,0.0,0.0903678878963732,0.3258471281333413,0.0,0.0,0.000126839167935,0.4368061555334102,0.0015673981191222,0.0058514202982888,0.0299513579262964,0.0113304546688048,36,7,APC
28,0.0073492204128459,0.0136849744232885,0.0190264672681582,0.0107846668830395,0.0,0.0865514736902791,0.0965254888962061,0.0037163611820761,0.0004664909714028,0.0,0.3059580574710498,0.0,0.1407164911055558,0.1287665313492488,0.2078631536347233,11,7,APC
29,0.0528839590680653,0.0161448492540264,0.018178743345201,0.0148925245564102,0.0391544765090268,0.0814606784301966,0.0299736878940095,0.0196875757327123,0.0085041503650887,0.0100836056003236,0.009768137261947,0.1227727974277554,0.3917132267030043,0.0841986081242443,0.1070903996404562,129,29,stroma
30,0.013355253798976,0.0016139428458719,0.0007575563876716,0.0081257632196979,0.0118210755932057,0.0128651367606301,0.0085337357109841,0.0030669325533968,0.0095455716811778,0.0107712941812703,0.0005917996845486,0.0493654476574063,0.5376829185274773,0.0295485515729285,0.3107160800795277,111,29,stroma
31,0.0070887924547824,0.0041233059311554,0.2994540192206003,0.0134152797835445,0.0021796842194017,0.6347117641778529,0.0135644245578274,0.0035823141249782,0.0014521460914256,0.0,0.0120723476110399,0.0013863150867878,0.0041463640926877,0.0031321223718498,0.0025700271550291,198,21,CD4T
32,0.0101126153272816,0.0118837653719269,0.2161708250611787,0.0812536153212516,0.0084519074821805,0.5817319029304685,0.0148577769657978,0.0132148531016028,0.0041495796169778,0.0063105254082989,0.0247035493152431,0.0045329378591028,0.0261791807036273,0.0087164687585025,0.0096264132653843,106,21,CD4T
33,0.0126185738760433,0.0061614265533453,0.1433657081955478,0.2182530625810554,0.0070029887609466,0.5671419040055717,0.0125718080786914,0.0082733855579519,0.0100844915518781,0.0043265471187444,0.0172219669999928,0.0077508654088043,0.0327132561871188,0.0102661342077937,0.0090882096392955,74,30,immune_other
34,0.0104540558193814,0.0154310072457121,0.0337268540380475,0.5040789920897769,0.0044347571084958,0.4828973383011111,0.0471012478706205,0.0072433509785751,0.0054680755787236,0.0099696015235519,0.0148348587143804,0.007753572352961,0.0110418881121223,0.0066158111149298,0.0180802925747454,266,30,immune_other
35,0.1228543027843299,0.0686340482800253,0.0219535077056261,0.0235617428418618,0.0083082633079586,0.4304041668159429,0.0047125895392299,0.0119390420021142,0.0020159792274616,0.0242439930723037,0.1004683813636801,0.0204979087299721,0.0473520373882161,0.0813453469320523,0.0491223910800489,170,31,other
36,0.0206599994117601,0.0195664903596226,0.029574957341405,0.0253696257952541,0.0030023099784159,0.3610253672095047,0.0074737928339227,0.0040845109120061,0.0005315419107966,0.0027578427495417,0.4660811650334745,0.0025905841074076,0.012205997395328,0.0450597190650142,0.0164408790785127,126,7,APC
37,0.0098949103268204,0.0135356709794232,0.0136407220247057,0.0052369917978176,0.000937774183532,0.0683852109422877,0.0136796152139704,0.0059746641903441,0.0005086976571682,0.001327366048636,0.809484021839775,0.002053491337851,0.0129513438468066,0.0463638096089916,0.010735092219356,267,7,APC
38,0.0199668644761583,0.0,0.0040785346930881,0.01289480072177,0.0028622549878187,0.1008142949209793,0.0040365838291847,0.0062397044281516,0.002489289842948,0.0004775549188156,0.3895016583760872,0.0055156695156695,0.2985887237977954,0.1455284417915169,0.0502598049182268,30,7,APC
