cell_som_cluster,CD3,CD4,CD8,CD14,CD20,CD31,CD45,CD68,CD163_nuc_exclude,CK17,Collagen1,Fibronectin,ECAD_smoothed,HLADR,SMA,Vim,cell_meta_cluster,cell_meta_cluster_rename
33,0.3658923195699441,0.3312229679269109,0.0577309912313134,0.077136052193604,0.1477086508073957,0.0288341317706781,0.3782442654717264,0.0569854051500622,0.0422858396587969,0.0451223114618331,0.0717044900330362,0.0565406945556961,0.0763044563345939,0.1052195090052363,0.0295841714709559,0.114635076016576,30,immune_other
34,0.4680325466349972,0.3129657067585581,0.0845814681203881,0.0803506000671071,0.101647281034917,0.0267028936532344,0.3347602936496972,0.058877098520321,0.0443574801279262,0.0477649494143431,0.0806003685020212,0.0645420435082821,0.0812198493137751,0.0917494891905535,0.0303504022728072,0.1062672047921097,30,immune_other
35,0.2286777190898166,0.2962424799467233,0.0464284405849495,0.1451235638869274,0.0704378446118739,0.026277174029483,0.2914372934931865,0.0646770246174186,0.0965480122822606,0.0317270832769237,0.1128189122928075,0.077932375644193,0.1060699289514026,0.1560489401126067,0.036358433316846,0.1163474630241823,31,other
36,0.2330518065776503,0.3287145692280704,0.0540221384894286,0.089152415783261,0.0741263301838016,0.0219730043536356,0.3212174941898477,0.0574217772388166,0.0641767651537994,0.0288344682113406,0.0775805583132322,0.0564714285083811,0.0777709547340479,0.3958799190537513,0.0207180750148287,0.1028895862559883,7,APC
37,0.1483608013042164,0.2789663699336364,0.05885818258952,0.0861089316442581,0.052297908846149,0.0179196830900502,0.265623115464896,0.058552425387029,0.067529730100846,0.0236066559034056,0.0750648390081969,0.0552561630212248,0.0795577728360418,0.6207494769532222,0.0163091599930466,0.1022479887288782,7,APC
38,0.1254919671413797,0.1989207699456796,0.045915170180665,0.0827180640402668,0.0429826541746798,0.0238449877716847,0.1903071289371553,0.0517012060691116,0.0544601895861487,0.031995822821307,0.1264546118111632,0.1018124680096793,0.1352612224106307,0.3378748215052538,0.0377198588651727,0.228175568099624,7,APC
39,0.0871305540872274,0.1053816199609079,0.0417383337266288,0.0724024030262891,0.0462228321655197,0.0678950673264196,0.1128876268265541,0.0475018193289235,0.0477536706161035,0.0393595500003995,0.1449449704665338,0.1372163510191073,0.1760721145317579,0.0709451117726733,0.0829230203961495,0.3639690594107027,29,stroma
40,0.0554616776272793,0.0634169542935953,0.0348477158537557,0.0480454392743866,0.0313885841936091,0.0378101309543144,0.0633413798409779,0.0328687264098437,0.0361628824801515,0.0486481552978322,0.1621459031231135,0.1588288464713593,0.2117921608018916,0.0360417648198833,0.0741513819430236,0.4629952974261047,29,stroma
41,0.2808659041249463,0.3166718158614383,0.0493142292937938,0.0715215366054138,0.2773084404415057,0.0263288918618405,0.4635956692521117,0.0548243075344241,0.0425656928706552,0.0380313154935844,0.0580691279235643,0.0418146303408011,0.0580901901397662,0.1315178881226471,0.0237023160103421,0.1007577217351267,21,CD4T
42,0.2680816502818204,0.2927000882566333,0.0659656682303635,0.0860627327711895,0.2260233674175842,0.0285649201250256,0.4119720279722064,0.0609469937763782,0.0548525469805722,0.0381561810295291,0.0677753869003259,0.0498797674144456,0.0652291006599916,0.1437600128240011,0.0272932476253857,0.1079616174238937,21,CD4T
43,0.3350282300969546,0.2808496737738905,0.0607501493368975,0.0766341686843412,0.2035340479760968,0.0249654861089492,0.3798604108689642,0.0589625732002711,0.0459040290839089,0.0445008864839324,0.0711322310348032,0.0555696257809179,0.0706607497473936,0.1233663082840354,0.0328288267148066,0.1134509948624539,30,immune_other
44,0.3953539373240547,0.2324128495357726,0.0885364929492217,0.0870528606069044,0.1070863331446876,0.0423463617544251,0.2749207267530102,0.0676573464271151,0.0525095015321277,0.0469171547866495,0.0951025137919615,0.0767693678210642,0.0826156047593352,0.0965554830156601,0.0396069943580345,0.1242443917621613,30,immune_other
45,0.209333116809922,0.2535147334705241,0.0538112172145396,0.135353946973218,0.0795965169166471,0.0217351317866057,0.2568187774926582,0.1841917071235088,0.1082304792533926,0.0345115898409687,0.087459253141699,0.0633414397294197,0.0853658422551832,0.1163698835785554,0.0292063171071584,0.1103991107392432,23,M1_macrophage
46,0.1892758757283118,0.266914724517942,0.0473880792198524,0.1256159630044238,0.0633119325932068,0.0264431286993611,0.2553259407919547,0.0821559638779459,0.1247350980119089,0.0277936677600613,0.0966623882708656,0.0673768166616441,0.0888324685449676,0.287078048088098,0.0229339682257177,0.1035580651283663,7,APC
47,0.1132594594004198,0.2127455476012147,0.0455775955608078,0.1470678317146567,0.0553563009793298,0.01941752324464,0.2094867799986834,0.0922309642461412,0.1151367833223361,0.025482779240158,0.1137300351969579,0.0747273639829656,0.1049636415850904,0.3869011142215969,0.025027361278295,0.0976580646853735,7,APC
49,0.0557551873510405,0.0614320599808092,0.0348524047800345,0.0575593395687493,0.0300973935478548,0.0272575851512397,0.0609914057411301,0.0308478740021104,0.0375218429257544,0.1423622811563069,0.1444953509063494,0.1302493039677169,0.3343085238427389,0.0382464799365074,0.0549496457082793,0.3041310041921464,29,stroma
50,0.0520473183796585,0.05992938095285,0.0332833321235059,0.0549619194696903,0.0272871904436624,0.0306752696235996,0.0547747381892362,0.0307075694128646,0.0376126693627194,0.0516188354566121,0.1340061584655673,0.131287771742318,0.380907822556481,0.034797975229011,0.0535557277490884,0.3623550840851935,29,stroma
51,0.2457010760412362,0.2752431745211884,0.0476380366397883,0.0715898172047134,0.3262884365276598,0.0267204061839479,0.4664636858671967,0.0546296420358671,0.0412959857563079,0.037854308512588,0.0552964755520412,0.0394081636864383,0.0563742093204212,0.1479535153232301,0.02310281667288,0.1014511847648042,22,Bcell
52,0.245428141537435,0.2550700989994363,0.0579600478186106,0.0779471479362654,0.2905057267958871,0.0264817959823479,0.4259092891290897,0.0642255306595854,0.0504193092841971,0.0390842752616137,0.0608843373816884,0.0442643465924649,0.0615050014224657,0.1511010597783924,0.0253770597935785,0.1029111767699702,22,Bcell
53,0.2674538175364773,0.242178599214884,0.0854315046883129,0.0814376897122357,0.2453832063632908,0.0258994308008335,0.3911541095044532,0.064425017366615,0.0577550685357331,0.0415714580122769,0.0653542306581444,0.0502059696213094,0.0700539072163835,0.1487382867011746,0.0276884523739719,0.1133210557991136,31,other
54,0.1978063086133048,0.2030112190808503,0.0651663942943678,0.0789555810580787,0.1426067683112967,0.1030897084074107,0.2723043106323976,0.0651860528899215,0.0597224173362729,0.034331697822502,0.084764798266819,0.0774816870933141,0.0846696299578693,0.0926832933783106,0.0531607666014861,0.1743589839211357,25,endothelium
55,0.1058288047047081,0.1640747685845738,0.0543395339059437,0.1818036750867069,0.0659475290874107,0.024788943424014,0.157921616012148,0.4230629892491152,0.1548858572849646,0.0253755484529072,0.0908921701620548,0.0673321273683357,0.0842109353002494,0.1246371940439046,0.0325476033986464,0.1242658717389336,23,M1_macrophage
56,0.1393198142910249,0.2544760889393448,0.0499152595395478,0.2279131969277029,0.0709207851374127,0.0214961402640419,0.2210669630140785,0.1516818757607651,0.39293941996539,0.0225524632068023,0.0929168241317311,0.063872722772222,0.0659684425555133,0.127310268708296,0.0240948375384166,0.0974980667232493,14,M2_macrophage
57,0.0398530061975446,0.0382457699526903,0.0212729119230017,0.0356349352975148,0.0135009995262129,0.005124589181228,0.04486615637249,0.0197304405627495,0.0180101707310103,0.0204463478681696,0.0498085960152611,0.0343176791433275,0.0559053095305218,0.0224555038208183,0.0171968634877741,0.035834969987788,31,other
58,0.0530434751300937,0.0527028236691486,0.0334761571803937,0.0521987396766382,0.025231318007075,0.0178081729417626,0.0479268764142748,0.0301096927373868,0.0324696591492605,0.3910285699350291,0.1042951779634711,0.0916679166387253,0.4392780890593598,0.0377566907137328,0.0385650601700261,0.1476513613342923,24,tumor_ck17
59,0.0534542839889477,0.0580660607745334,0.0346147800856435,0.0613522971534243,0.0259954108275167,0.0223432439235748,0.0536875156828339,0.0306830029516568,0.0387893109541483,0.1418556284250361,0.1310446540856159,0.1119068238169967,0.4650527341254582,0.035900060870765,0.0401157179408992,0.2090312171007728,24,tumor_ck17
60,0.0493528631636109,0.0574690646502369,0.0322933216456016,0.0595818008087621,0.0265124280781164,0.0263473050812703,0.0505391859366727,0.0298372712720555,0.0402774254509684,0.0533666734569256,0.1197273024274626,0.1116734514551824,0.5133822009689115,0.0359997447073575,0.0455785964942193,0.2552195933748132,29,stroma
61,0.2151053764228324,0.2384780216778541,0.0449260970683474,0.0701274449923045,0.3822361432231874,0.0264058346471844,0.477824743218154,0.0538439324101829,0.0399398171778973,0.038379743884927,0.0529804631985056,0.0369564921217936,0.0544926671185929,0.1560179994795273,0.0232780524249672,0.1006151186150547,22,Bcell
62,0.2105640884198223,0.2212027950946677,0.0505558122499443,0.0730136461672174,0.3414361812714722,0.0295439182206582,0.434491883958996,0.0578102822950377,0.0448867898547522,0.0411029641817861,0.0589417537531011,0.0432848212983714,0.0598181496279231,0.16101391668508,0.0291987426461515,0.1070446000304936,22,Bcell
63,0.2354419532011832,0.2040476773976954,0.1089800731782471,0.0734551645913004,0.3073315178648101,0.0257700395190737,0.4192725998100333,0.0558050345669353,0.0459652002593847,0.0389629901314387,0.0630583823917494,0.0464955973901204,0.0595336318721322,0.1655812229492601,0.0253407315661194,0.105334417553563,22,Bcell
64,0.1698266402764753,0.1685229259119891,0.0805347905661854,0.0747628804896849,0.222415434359069,0.1444891371132247,0.3120581932096742,0.0509883954889997,0.0451088790912889,0.0328529204799719,0.0742950090057131,0.0700738659971037,0.0703208672601054,0.124533870263163,0.0405773165082633,0.1687255608478674,25,endothelium
65,0.0871623806483008,0.0910607083082783,0.0361350572374552,0.0697838928950891,0.0701641901171703,0.4059368525716345,0.1067433311129593,0.0328358308741182,0.0392972539872102,0.0284362662031288,0.0978375483486154,0.1210291526476483,0.0898642502528451,0.050663531008806,0.0744872260298568,0.2913964733245103,25,endothelium
66,0.0971172739370627,0.1108399845652175,0.0585642303823003,0.1061751161870902,0.0363977340792395,0.0317554827883396,0.119969350680026,0.1402546559777655,0.0691413550437955,0.0258941295369997,0.1029303613925756,0.0766280605958378,0.1276522879217982,0.0895014960973956,0.0361568767176274,0.1282306397614155,23,M1_macrophage
67,0.0766320821108507,0.098736985317803,0.0387434653264213,0.0856945018553355,0.02838506129324,0.012448072096394,0.0956121135134068,0.0896106945386926,0.0597173998706923,0.0538130999663214,0.0890171632744171,0.0654151383614877,0.285699632054711,0.0702232598560282,0.0216076084860109,0.0879618616725657,31,other
68,0.0623852060301934,0.072414445675658,0.0322199735464877,0.0788909068029134,0.0265383264878804,0.0159745435714661,0.0688096951503077,0.038556199569901,0.0461631731472176,0.1162487475159887,0.1357942168607252,0.0978961964709129,0.4490435222076414,0.0467314128340476,0.0313603620580699,0.0921138863050904,24,tumor_ck17
69,0.047836340574436,0.0513937536974759,0.031655352573054,0.0569349495513383,0.0240000504993742,0.014694687656399,0.0423975034846378,0.0263826597884576,0.0381163394987787,0.187645258552459,0.1033392855785342,0.0871651782927091,0.626103114151702,0.0348331661329834,0.0248175892628779,0.1195154928339371,24,tumor_ck17
70,0.0469017861030949,0.0538580949303941,0.0309521662736613,0.0611055224372149,0.0255204126354932,0.0194575334964314,0.0444501156937345,0.028893060429033,0.0411674815587991,0.0566316340263667,0.0996851864236136,0.0914620469480269,0.640460636338762,0.0351816988401225,0.0303653693131089,0.1774824636745545,29,stroma
71,0.1820769789826399,0.200080161198096,0.0429187876633208,0.0688213905460552,0.4347245854002169,0.026895299118038,0.4854506188725008,0.053339102732898,0.0393375038420239,0.0385677329310037,0.050413931475388,0.034480901942829,0.0522056901041404,0.1691896545607039,0.0228014877057466,0.1001583863122594,22,Bcell
72,0.2004831258377551,0.1921997063983062,0.0481305736860917,0.0706471632226881,0.401774504384719,0.0261061667970187,0.4555453671555987,0.0534735340444946,0.0401026107698893,0.0401045755223266,0.0534228727720218,0.0377904892377896,0.0558073094227886,0.1702791483716981,0.0232863221019544,0.1021252461133016,22,Bcell
73,0.1779053329069183,0.1840707058297179,0.0597764039152878,0.0754267729462692,0.3596143697413056,0.02964399116539,0.4209336778889133,0.068213753137708,0.0494986584497236,0.0408001687750331,0.0603614360393051,0.0438492075380749,0.0622024267911205,0.1930634388756831,0.0252866914158542,0.1095226928553924,22,Bcell
74,0.1368733745534315,0.1593941697887715,0.0593249746886378,0.0905513822726942,0.2359831327023075,0.0580045269832082,0.3044867302953306,0.10278013549721,0.0720889844575894,0.0360561658348945,0.0822931817175283,0.0658249102131545,0.0837478214965055,0.1548428029065692,0.0387248070232638,0.146129067475624,23,M1_macrophage
75,0.0834154988439313,0.1173398785337538,0.0446769490598779,0.1759519743464445,0.075013879562567,0.1113520399101132,0.1530932370987424,0.0674995294735638,0.0821449323955825,0.0314206633460104,0.1409294341610463,0.11313380545712,0.1150874062582928,0.0817538144126358,0.0840094908321858,0.2019857525006456,25,endothelium
76,0.0949575365769039,0.1534486089411271,0.0435087167566949,0.1752271331127566,0.0456449527242594,0.0292080009530217,0.159745808522369,0.0975009972925798,0.1013101134405528,0.0329400718711182,0.161713689242944,0.1092663730934193,0.18145604015435,0.1693996892632205,0.0449640249863676,0.1697899356941083,31,other
77,0.0714963637218967,0.1110897728226341,0.0397270415299498,0.1157979396686339,0.0330674941815311,0.0160516088948047,0.1104434522699969,0.0528641927629618,0.0715455017852212,0.0391596674843086,0.1014560210356441,0.071196519116707,0.4485830013169068,0.1632065986006091,0.022517700242637,0.1055249199368041,31,other
78,0.074841558144477,0.0836894465472445,0.0422303579824006,0.0900316105829723,0.0290271714675076,0.0149600740495692,0.0812764684601843,0.0358573440650918,0.0547556723734244,0.0461119484802952,0.1281790871422285,0.0933675781041713,0.5587389468965563,0.050208021537059,0.036474327212427,0.0790752255911896,31,other
79,0.0468624577773833,0.0518124657215584,0.0305876242520057,0.0615821432697484,0.0251374878328505,0.0156336377968777,0.0415876041549993,0.0265229223358072,0.041635907733329,0.1207753008525378,0.0861786369637981,0.0744315963918597,0.7162715926067512,0.035693357153353,0.0216256612310303,0.0903162538025305,27,tumor_ecad
80,0.0433988801308218,0.0477406075564187,0.0299802078684094,0.0569285751043125,0.0232520007041385,0.0146715397403321,0.0351896714137774,0.0254242503139156,0.039391394937282,0.0624325445469967,0.0782686479852902,0.0731246782877159,0.7635513145401356,0.0336037105244856,0.018425829097639,0.116937103832743,27,tumor_ecad
81,0.1563709385751797,0.1675507903284579,0.0420007776884658,0.067528231081292,0.48561457763479,0.0270288274139735,0.4971417368054525,0.0528327235107837,0.037730693731594,0.0383614585913018,0.0475840241006301,0.0317864968896871,0.0495379120898294,0.1772895732007252,0.0222313804833309,0.0991604016023687,22,Bcell
