pixel_meta_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster_rename
11,0.18302655020959685,0.33960825306773745,0.18161252778871648,0.31544685766789077,0.6515755274180544,0.587426418254314,0.18808603130224605,0.20579213299708998,0.3358439113304559,0.15636006401054084,0.28670409367635374,0.19329807427484538,0.6479208550486816,0.2588380362104466,0.20677204214976186,0.19229404436367256,0.08276342529091597,0.17107341061969952,0.2166708631034034,0.21768769207903282,0.16208849771334363,0.06383533928974927,0.12048610142612379,0.17072481649933563,990829,CD14 + CD16 + CD163
12,0.2844322561433874,0.32020589864920573,0.2376958378223264,0.2995417858389962,0.3151113119691412,0.30725152071511047,0.2381272240258962,0.20203693943682663,0.24632626224512796,0.1961026949767502,0.20128842669403857,0.4339629888563073,0.5430457222322045,0.25217893673731456,0.24012121957365778,0.3155566608182085,0.1976941138922297,0.09590632621123589,0.2605967582874192,0.24100998449901304,0.15423609526255944,0.12323804400963222,0.1061215612134516,0.18488155069142348,880901,CD163
13,0.2766883151653284,0.333449805209824,0.3423010791416838,0.45798426047532703,0.24847508678789584,0.1533933220731776,0.1053539220720953,0.1420770530807915,0.1841498036742739,0.13577031175370785,0.14155395037146734,0.19198221255912884,0.09878479066346077,0.3486380134857435,0.33369346433677777,0.4151765652406996,0.5201248708770616,0.0744112825430622,0.5104234292975862,0.5348591005822695,0.32825878718408097,0.04922269924271469,0.12414636166001569,0.1762363236679779,3388965,ECad + B7H4 + BetaCat + PanCK
14,0.3548930153564486,0.3763622752697924,0.2320151587820416,0.43137988866713506,0.296514219668178,0.24725577181980382,0.16615546402736786,0.16449559927126892,0.23193987165232413,0.16622130586790834,0.1908495031149593,0.1374163132555611,0.18373107670215588,0.3085724449137796,0.21348727750807175,0.7157633633213957,0.20066697899387503,0.11285726293891936,0.33448209090124065,0.34431535513844325,0.21556474732783615,0.08885617211595952,0.11566683233453133,0.2141409636380039,1640480,FoxP3
15,0.3490288152481339,0.3674545026384126,0.39705495932193224,0.39482371923525134,0.27414600204240247,0.1400750867480566,0.19701278278778156,0.1851553473053239,0.27505333337868476,0.2890320574167132,0.15782092645898185,0.18712048689765004,0.11848840472046518,0.305116046625131,0.27778583211032726,0.3136429660323278,0.41595664049734016,0.06669432579886614,0.3708433128089348,0.4098418739657815,0.3138118318363199,0.04816052193761804,0.09477120527003406,0.20731492250400593,6950938,CD8 + Ecad
16,0.2875234741489529,0.29941993234097125,0.24280095313812683,0.28367323675170525,0.3635940995248517,0.29595094683493123,0.8207919565665492,0.18295627758573704,0.3033637697031216,0.14932915881017758,0.24166446797226562,0.13402030552009805,0.3691643368435332,0.23269374300980286,0.1593223232799252,0.21097045967491085,0.07744531668159309,0.08833489675327785,0.20908205182037995,0.19205419431116935,0.19989179533849416,0.07315728062570438,0.10064435027221079,0.17371774101895446,662957,CD20
17,0.25604994425173705,0.3317304869212371,0.2864645591234381,0.3738742229649148,0.2534050629771827,0.13749542194553746,0.15548892530521946,0.20698327773460212,0.22766431375795168,0.16453660733628206,0.17324486865193822,0.23639355720224994,0.09989692566137355,0.30448941780615485,0.335371389796563,0.2996303113920923,0.49105613280247473,0.43274305738287544,0.41399161691679864,0.4494959235123708,0.26641829944917045,0.05656704857993281,0.11949505952692364,0.17572099356591944,3917357,HLA + Ecad
18,0.31965253858157583,0.37745106654967037,0.31530476519921063,0.40602879942287695,0.26743133252258766,0.16064686126554018,0.15898085651129287,0.22733924111332043,0.36766789997503363,0.22551176733528944,0.21881554641399983,0.178245210434381,0.12403142405841329,0.3393264468760491,0.1331950952649737,0.30622985778682177,0.1595837085133445,0.13395577995395824,0.272709259077399,0.3726527843661272,0.3869016667810587,0.07708727945141858,0.2646200654651041,0.34564206829105587,3373356,CD31 + GzmB*
19,0.4818415642659551,0.5778122914270527,0.3694757755194029,0.35290502615159314,0.36546400735918005,0.2397784006761699,0.24618540291471977,0.18341584060908817,0.31911077986338093,0.18863183385200105,0.23640298018622619,0.15003633841143083,0.36860484080268163,0.28599790007807463,0.12198752332796689,0.31798755652467703,0.11755828179274291,0.09972810951823291,0.2523207934932798,0.2793821981582974,0.17242854377548728,0.07876750913120911,0.1044145368122092,0.20796949006801493,1610822,CD4 + CD3
20,0.22805385949807916,0.2549053121046403,0.1954668991467476,0.2950589107352727,0.2736919150817417,0.1684381418915798,0.19385398854383354,0.2817409545906589,0.2108726245835127,0.14782803495480093,0.1747576123107185,0.31049269453318934,0.17696780117249786,0.42531710057158095,0.1198693156661702,0.20506810962860086,0.10538499654331214,0.0891753788512867,0.3521388739205948,0.22887484025020918,0.266842365592901,0.6749548336357205,0.30928408955497366,0.27165959335468026,1114336,aSMA
