pixel_som_cluster,CD3,CD4,CD8a,CD11b,CD14,CD16,CD20,CD44,CD45,CD45RO,CD68,CD107a,CD163,CD366,Pan-keratin,FOXP3,E-Cadherin,HLA-DR-DQ-DP,Beta-Catenin,B7-H4,Granzyme-B,Alpha-SMA,Vimentin,CD31,count,pixel_meta_cluster,pixel_meta_cluster_rename
21,0.2167484992199716,0.210984793342504,0.1524788549097789,0.2362733067862002,0.2418856889685717,0.1681310288104304,0.1756553253988482,0.7472563181048424,0.2205555613811018,0.1144143632439733,0.1728262920924283,0.3022168436424218,0.1568676691194013,0.3031461933940979,0.1179605873053122,0.1800172402903544,0.1020131600797378,0.0822712137979763,0.2528379087117649,0.1754929671772933,0.2377660214632405,0.7751236102553419,0.2918869118976974,0.2472115911910229,73596,20,aSMA
22,0.1674684456439313,0.1764799495689242,0.1029849050064566,0.2271245293152091,0.1715365160606074,0.0959814725513812,0.100986714485893,0.1676474775166611,0.1240888750574933,0.0904824736280829,0.1657896251270863,0.4239619801335847,0.0925270457878227,0.3512443230289156,0.1182972572259225,0.1553154435662319,0.0836823273489733,0.0657840446939187,0.4186933533392901,0.2063616744585426,0.4700122972922234,0.9499545098644352,0.8255874612758607,0.2059224713503869,87652,10,Vim + GzmB + aSMA
23,0.1855102213520619,0.2654402946726074,0.1863157332470588,0.4258156977592983,0.2571802759004443,0.1091070940786934,0.0891914088523439,0.1411081268510815,0.1633895932027909,0.1291246466006828,0.1878574943903126,0.2207012698313047,0.084887776678815,0.4164630613423056,0.1201484790457608,0.2516724044689838,0.094891101180731,0.0695447453962357,0.3797270858363291,0.3986217018341697,0.5330459634232421,0.5063796107065861,0.4601486761232037,0.4100326474133359,353675,10,Vim + GzmB + aSMA
24,0.1834134517676838,0.2356532195559751,0.1749197704247596,0.3133957803453959,0.2725660254062724,0.1281143539388733,0.1221749250193428,0.3135394975080388,0.1854011876203984,0.1233707113481365,0.2037404559369188,0.320266601220629,0.1047260874708413,0.4780406474395836,0.1163374420817133,0.1840763151162051,0.1017529338671127,0.0766240448682599,0.3319923046740766,0.264330728245109,0.5608028257782486,0.4935165897640292,0.4882018856658899,0.2615762931134066,278576,10,Vim + GzmB + aSMA
25,0.2395907785707412,0.2856545605420867,0.2385635047956392,0.286961028848586,0.2264546306522073,0.1447026174191628,0.1804992560291378,0.160186073404149,0.2088915800591329,0.2984495906024622,0.1975873082753941,0.2004524258173876,0.1279761009355347,0.3178427724013102,0.1597038086310916,0.2424803105479782,0.1083187823916354,0.0930515284645946,0.2574587283337744,0.2571352411042268,0.4635445796314889,0.4898466941762574,0.4026582517419886,0.4211617044702639,288941,35,Vim + GzmB + CD31 + aSMA
26,0.2162546414690636,0.2469940569184393,0.2212157714965145,0.300534249999398,0.2752823172137552,0.1720220061430637,0.1391474245392213,0.1464569710346266,0.259588484279494,0.182339388111808,0.2813146572914335,0.2450298461827762,0.174962638718075,0.2811687619731857,0.1077845816334145,0.2131587663394179,0.0876011755576871,0.1251411347747925,0.2489013175321067,0.2518456992489868,0.6058138775005216,0.1734514532639347,0.4424418251400597,0.6675827529211575,168070,35,Vim + GzmB + CD31 + aSMA
27,0.3002264826516432,0.339865613568665,0.2419542714051935,0.2865382873102881,0.2898666067942563,0.2054505150428123,0.4890371948708645,0.1947345894649134,0.274533101936003,0.1890662450628462,0.1893651487413696,0.1403914095199986,0.2966779020189889,0.2803642530321967,0.1534676072035826,0.2534488628423778,0.098264343849047,0.1161225660223028,0.204219616311857,0.2092573762763286,0.2051080525649573,0.1371819870464296,0.1596949505912989,0.5720936105624146,197548,39,CD31
28,0.200955276299712,0.2880531198228706,0.1669847084677477,0.3769355683768449,0.4948513357327195,0.3554028460610107,0.1089578096551179,0.2022111579394738,0.2748174479733778,0.1546495046185443,0.2328720264151972,0.1732800958711273,0.3419627634267182,0.3356665824517295,0.1537549762794729,0.2297628978898326,0.0940980478251726,0.1872923754577526,0.2672872636044686,0.2521311300772812,0.2033183298859077,0.0914781303170847,0.1564816669492916,0.7331561333327266,90666,3,HLA + CD4
29,0.2450351621979825,0.3916959263517877,0.1970523830391521,0.5014959250096248,0.3484597879665624,0.2176502037269635,0.0725369626346199,0.2424173141242835,0.3159412103445499,0.1607348639239809,0.2384290270805237,0.1865008074222741,0.1581567021243684,0.3977052588063509,0.1065347867858665,0.3091336121084407,0.1309130840919725,0.144284000346949,0.3557522990839707,0.4590087531028373,0.4222614086986335,0.0672659791331761,0.2635599420997022,0.2828485143143843,261203,1,Vim + GzmB
30,0.1979737871798693,0.2831176038049598,0.1009149192050714,0.5968805964951069,0.3260419079973671,0.1693367373237812,0.0357400175258319,0.1612321903421358,0.1307673360355357,0.0760483479075955,0.2162524983366741,0.2377792155276291,0.1077696101344508,0.6059631063207727,0.1450568201387503,0.2885066006222599,0.1573111080867295,0.0570683070075306,0.4895525636270014,0.5372991959403464,0.486925582466914,0.0928497650853949,0.507774204823696,0.1966543713143723,280693,6,CD366 + GzmB
