item,label
141138,Regulatory T cells
141139,Regulatory T cells
141140,Regulatory T cells
141141,Regulatory T cells
141142,Regulatory T cells
141143,Memory B cells
141144,Regulatory T cells
141145,Regulatory T cells
141146,Memory B cells
141147,Regulatory T cells
141148,Regulatory T cells
141149,Regulatory T cells
141150,Memory B cells
141151,Memory B cells
141152,Regulatory T cells
141153,Memory B cells
141154,Regulatory T cells
141155,Regulatory T cells
141156,Regulatory T cells
141157,Memory CD8 T cells
141158,Regulatory T cells
141159,Memory B cells
141160,Regulatory T cells
141161,Regulatory T cells
141162,Regulatory T cells
141163,Memory B cells
141164,Regulatory T cells
141165,Regulatory T cells
141166,CD163n_Mac [M1]
141167,Regulatory T cells
141168,Memory B cells
141169,Memory B cells
141170,Regulatory T cells
141171,Regulatory T cells
141172,Regulatory T cells
141173,Regulatory T cells
141174,CI_Monocyte
141175,Memory B cells
141176,Memory B cells
141177,Regulatory T cells
141178,Regulatory T cells
141179,Regulatory T cells
141180,Regulatory T cells
141181,Regulatory T cells
141182,Regulatory T cells
141183,Regulatory T cells
141184,CD163n_Mac [M1]
141185,Regulatory T cells
141186,Regulatory T cells
141187,Regulatory T cells
141188,Memory B cells
141189,Memory B cells
141190,CI_Monocyte
141191,Regulatory T cells
141192,Regulatory T cells
141193,CI_Monocyte
141194,Regulatory T cells
141195,Regulatory T cells
141196,Regulatory T cells
141197,Regulatory T cells
141198,Regulatory T cells
141199,Regulatory T cells
141200,Memory B cells
141201,Regulatory T cells
141202,Memory B cells
141203,Regulatory T cells
141204,Regulatory T cells
141205,CD163n_Mac [M1]
141206,Memory B cells
141207,Regulatory T cells
141208,Regulatory T cells
141209,Memory B cells
141210,Memory B cells
141211,Memory B cells
141212,Memory B cells
141213,Regulatory T cells
141214,Regulatory T cells
141215,Memory B cells
141216,Regulatory T cells
141217,Memory B cells
141218,Memory B cells
141219,Memory B cells
141220,Unknown
141221,Regulatory T cells
141222,Memory B cells
141223,CI_Monocyte
141224,Memory B cells
141225,Memory B cells
141226,Regulatory T cells
141227,CD163n_Mac [M1]
141228,Memory B cells
141229,Regulatory T cells
141230,nonCI_Monocyte
141231,Memory B cells
141232,Regulatory T cells
141233,Regulatory T cells
141234,Regulatory T cells
141235,Regulatory T cells
141236,Regulatory T cells
141237,Regulatory T cells
141238,Regulatory T cells
141239,Regulatory T cells
141240,Regulatory T cells
141241,Regulatory T cells
141242,Regulatory T cells
141243,Regulatory T cells
141244,Memory B cells
141245,Regulatory T cells
141246,Regulatory T cells
141247,Memory B cells
141248,Regulatory T cells
141249,Regulatory T cells
141250,Regulatory T cells
141251,CI_Monocyte
141252,Memory B cells
141253,Regulatory T cells
141254,Regulatory T cells
141255,Regulatory T cells
141256,CD163n_Mac [M1]
141257,Memory B cells
141258,Memory B cells
141259,Memory B cells
141260,Memory B cells
141261,Regulatory T cells
141262,Naive CD4 T cells
141263,Regulatory T cells
141264,Regulatory T cells
141265,Regulatory T cells
141266,Regulatory T cells
141267,Regulatory T cells
141268,Memory B cells
141269,Int_Monocyte
141270,Memory B cells
141271,Regulatory T cells
141272,Memory B cells
141273,Memory B cells
141274,Memory B cells
141275,Regulatory T cells
141276,CD163n_Mac [M1]
141277,Memory B cells
141278,Naive CD4 T cells
141279,Memory B cells
141280,Memory B cells
141281,Memory B cells
141282,CI_Monocyte
141283,Regulatory T cells
141284,Regulatory T cells
141285,Memory B cells
141286,Regulatory T cells
141287,Int_Monocyte
141288,Memory B cells
141289,Regulatory T cells
141290,Regulatory T cells
141291,Regulatory T cells
141292,Regulatory T cells
141293,Regulatory T cells
141294,CI_Monocyte
141295,Memory B cells
141296,Regulatory T cells
141297,CD163n_Mac [M1]
141298,Regulatory T cells
141299,Regulatory T cells
141300,Regulatory T cells
