item,label
824,NK and CD8 Tcell
825,Unknown
826,NK and CD8 Tcell
827,NK and CD8 Tcell
828,Cancer
829,Naive CD4 T cells
830,Neutrophil&monocyte
831,Cancer
832,NK and CD8 Tcell
833,NK and CD8 Tcell
834,NK and CD8 Tcell
835,Endothelial
836,Naive CD8 T cells
837,CD163n_Mac [M1]
838,nonCI_Monocyte
839,Fibroblasts
840,NK and CD8 Tcell
841,NK and CD8 Tcell
842,NK and CD8 Tcell
843,Cancer
844,Naive B cells
845,Cancer
846,B7H4+ cancer cells
847,Naive CD4 T cells
848,Cancer
849,NK and CD8 Tcell
850,Memory CD8 T cells
851,nonCI_Monocyte
852,nonCI_Monocyte
853,Unknown
854,Naive CD8 T cells
855,Unknown
856,Unknown
857,NK and CD8 Tcell
858,Cancer
859,NK and CD8 Tcell
860,Neutrophil&monocyte
861,Fibroblasts
862,Unknown
863,Naive CD4 T cells
864,Cancer
865,NK and CD8 Tcell
866,NK and CD8 Tcell
867,NK and CD8 Tcell
868,NK and CD8 Tcell
869,NK and CD8 Tcell
870,NK and CD8 Tcell
871,Naive CD8 T cells
872,NK and CD8 Tcell
873,Cancer
874,NK and CD8 Tcell
875,nonCI_Monocyte
876,NK and CD8 Tcell
877,NK and CD8 Tcell
878,nonCI_Monocyte
879,Fibroblasts
880,Naive CD4 T cells
881,NK and CD8 Tcell
882,NK and CD8 Tcell
883,NK and CD8 Tcell
884,B7H4+ cancer cells
885,NK and CD8 Tcell
886,NK and CD8 Tcell
887,NK and CD8 Tcell
888,NK and CD8 Tcell
889,NK and CD8 Tcell
890,Fibroblasts
891,NK and CD8 Tcell
892,Unknown
893,NK and CD8 Tcell
894,NK and CD8 Tcell
895,Memory T cells
896,p53+ cells?
897,Endothelial
898,NK and CD8 Tcell
899,NK and CD8 Tcell
900,Endothelial
901,Endothelial
902,Int_Monocyte
903,NK and CD8 Tcell
904,NK and CD8 Tcell
905,Cancer
906,CD163n_Mac [M1]
907,Fibroblasts
908,NK and CD8 Tcell
909,B7H4+ cancer cells
910,Cancer
911,Cancer
912,Neutrophil&monocyte
913,Cancer
914,nonCI_Monocyte
915,NK and CD8 Tcell
916,Naive B cells
917,nonCI_Monocyte
918,Neutrophil&monocyte
919,NK and CD8 Tcell
920,Cancer
921,NK and CD8 Tcell
922,NK and CD8 Tcell
923,NK and CD8 Tcell
924,Cancer
925,Unknown
926,NK and CD8 Tcell
927,B7H4+ cancer cells
928,NK and CD8 Tcell
929,B7H4+ cancer cells
930,NK and CD8 Tcell
931,NK and CD8 Tcell
932,NK and CD8 Tcell
933,NK and CD8 Tcell
934,NK and CD8 Tcell
935,NK and CD8 Tcell
936,NK and CD8 Tcell
937,NK and CD8 Tcell
938,Regulatory T cells
939,Memory T cells
940,Naive CD4 T cells
941,Naive CD8 T cells
942,Neutrophil&monocyte
943,Memory CD8 T cells
944,NK and CD8 Tcell
945,Cancer
946,nonCI_Monocyte
947,Naive CD8 T cells
948,Cancer
949,Cancer
950,Unknown
951,NK and CD8 Tcell
952,NK and CD8 Tcell
953,NK and CD8 Tcell
954,Cancer
955,Naive CD4 T cells
956,NK and CD8 Tcell
957,Cancer
958,Cancer
959,NK and CD8 Tcell
960,NK and CD8 Tcell
961,Unknown
962,Cancer
963,NK and CD8 Tcell
964,Unknown
965,Naive CD8 T cells
966,NK and CD8 Tcell
967,Cancer
968,Cancer
969,Memory T cells
970,Endothelial
971,CI_Monocyte
972,Naive CD8 T cells
973,Neutrophil&monocyte
974,NK and CD8 Tcell
975,Endothelial
976,Fibroblasts
977,NK and CD8 Tcell
978,NK and CD8 Tcell
979,NK and CD8 Tcell
980,CD163p_Mac [M2]
981,CD163p_Mac [M2]
982,Cancer
983,Memory T cells
984,Naive CD4 T cells
985,Cancer
986,NK and CD8 Tcell
987,NK and CD8 Tcell
988,NK and CD8 Tcell
989,NK and CD8 Tcell
990,B7H4+ cancer cells
991,NK and CD8 Tcell
992,Naive CD8 T cells
993,NK and CD8 Tcell
994,CI_Monocyte
995,Memory CD8 T cells
996,Cancer
997,Neutrophil&monocyte
998,Naive CD4 T cells
999,B7H4+ cancer cells
1000,NK and CD8 Tcell
1001,p53+ cells?
1002,nonCI_Monocyte
1003,Cancer
1004,NK and CD8 Tcell
1005,Naive CD8 T cells
1006,Cancer
1007,NK and CD8 Tcell
1008,Endothelial
1009,Endothelial
1010,nonCI_Monocyte
1011,NK and CD8 Tcell
1012,Naive CD8 T cells
1013,NK and CD8 Tcell
1014,NK and CD8 Tcell
1015,Neutrophil&monocyte
1016,Unknown
1017,Unknown
1018,CD163n_Mac [M1]
1019,Naive CD8 T cells
1020,NK and CD8 Tcell
1021,nonCI_Monocyte
1022,NK and CD8 Tcell
1023,Naive CD8 T cells
1024,NK and CD8 Tcell
1025,NK and CD8 Tcell
1026,Neutrophil&monocyte
1027,CI_Monocyte
1028,NK and CD8 Tcell
1029,Memory B cells
1030,Naive CD4 T cells
1031,NK and CD8 Tcell
1032,NK and CD8 Tcell
1033,nonCI_Monocyte
1034,nonCI_Monocyte
1035,NK and CD8 Tcell
1036,NK and CD8 Tcell
1037,B7H4+ cancer cells
1038,NK and CD8 Tcell
1039,NK and CD8 Tcell
1040,Memory B cells
1041,Unknown
1042,Cancer
1043,NK and CD8 Tcell
1044,NK and CD8 Tcell
1045,Unknown
1046,Unknown
1047,NK and CD8 Tcell
1048,NK and CD8 Tcell
1049,Unknown
1050,Unknown
1051,NK and CD8 Tcell
1052,NK and CD8 Tcell
1053,Unknown
1054,B7H4+ cancer cells
1055,Unknown
1056,Fibroblasts
1057,NK and CD8 Tcell
1058,NK and CD8 Tcell
1059,NK and CD8 Tcell
1060,NK and CD8 Tcell
1061,NK and CD8 Tcell
1062,Cancer
1063,Endothelial
1064,NK and CD8 Tcell
1065,Unknown
1066,Naive CD8 T cells
1067,Naive B cells
1068,Neutrophil&monocyte
1069,Naive CD8 T cells
1070,Naive CD8 T cells
1071,NK and CD8 Tcell
1072,Fibroblasts
1073,Naive CD8 T cells
1074,NK and CD8 Tcell
1075,NK and CD8 Tcell
1076,NK and CD8 Tcell
1077,NK and CD8 Tcell
1078,Naive CD4 T cells
1079,NK and CD8 Tcell
1080,NK and CD8 Tcell
1081,CD163n_Mac [M1]
1082,CI_Monocyte
1083,nonCI_Monocyte
1084,NK and CD8 Tcell
1085,nonCI_Monocyte
1086,Unknown
1087,Unknown
1088,NK and CD8 Tcell
1089,CI_Monocyte
1090,Cancer
1091,Unknown
1092,NK and CD8 Tcell
1093,Fibroblasts
1094,Naive CD8 T cells
1095,Naive B cells
1096,NK and CD8 Tcell
1097,Cancer
1098,NK and CD8 Tcell
1099,Cancer
1100,NK and CD8 Tcell
1101,Fibroblasts
1102,Endothelial
1103,CI_Monocyte
1104,Unknown
1105,NK and CD8 Tcell
1106,Unknown
1107,NK and CD8 Tcell
1108,NK and CD8 Tcell
1109,Cancer
1110,Cancer
1111,NK and CD8 Tcell
1112,Unknown
1113,CI_Monocyte
1114,Endothelial
1115,Naive CD8 T cells
1116,Naive CD4 T cells
1117,Naive CD4 T cells
1118,NK and CD8 Tcell
1119,Cancer
1120,NK and CD8 Tcell
1121,NK and CD8 Tcell
1122,NK and CD8 Tcell
1123,NK and CD8 Tcell
1124,Unknown
1125,NK and CD8 Tcell
1126,Cancer
1127,NK and CD8 Tcell
1128,NK and CD8 Tcell
1129,B7H4+ cancer cells
1130,NK and CD8 Tcell
1131,Naive CD8 T cells
1132,Unknown
1133,Unknown
1134,Cancer
1135,Unknown
1136,Naive CD8 T cells
1137,Naive CD8 T cells
1138,NK and CD8 Tcell
1139,Endothelial
1140,Fibroblasts
1141,NK and CD8 Tcell
1142,NK and CD8 Tcell
1143,NK and CD8 Tcell
1144,Unknown
1145,NK and CD8 Tcell
1146,nonCI_Monocyte
1147,Memory T cells
1148,NK and CD8 Tcell
1149,NK and CD8 Tcell
1150,NK and CD8 Tcell
1151,NK and CD8 Tcell
1152,NK and CD8 Tcell
1153,Neutrophil&monocyte
1154,Unknown
1155,NK and CD8 Tcell
1156,nonCI_Monocyte
1157,Unknown
1158,Naive CD8 T cells
1159,Naive CD8 T cells
1160,nonCI_Monocyte
1161,NK and CD8 Tcell
1162,NK and CD8 Tcell
1163,Unknown
1164,Unknown
1165,B7H4+ cancer cells
1166,CD163p_Mac [M2]
1167,Unknown
1168,CI_Monocyte
1169,NK and CD8 Tcell
1170,Naive CD8 T cells
1171,NK and CD8 Tcell
1172,Naive CD8 T cells
1173,NK and CD8 Tcell
1174,NK and CD8 Tcell
1175,Unknown
1176,Fibroblasts
1177,NK and CD8 Tcell
1178,NK and CD8 Tcell
1179,Fibroblasts
1180,Unknown
1181,NK and CD8 Tcell
1182,NK and CD8 Tcell
1183,Endothelial
1184,CI_Monocyte
1185,Cancer
1186,Cancer
